policy_id,policy_name,category,sub_category,insurer,min_age,max_age,min_sum_insured,max_sum_insured,annual_premium_30yr,policy_term,waiting_period_days,claim_settlement_ratio,key_benefit_1,key_benefit_2,exclusion_1,best_for
LIFE001,LIC Tech-Term,Life Insurance,Term Insurance,LIC,18,65,5000000,No Limit,13000,10-40 years,30,98.6%,High cover at low cost,Tax benefit 80C,Suicide within 12 months,Young earning individuals
LIFE002,HDFC Click2Protect,Life Insurance,Term Insurance,HDFC Life,18,65,5000000,No Limit,12500,10-40 years,30,99.4%,Critical illness rider,Monthly income option,Pre-existing terminal illness,Professionals with family
LIFE003,LIC New Endowment Plan 814,Life Insurance,Endowment,LIC,8,55,100000,No Limit,41000,12-35 years,0,98.6%,Guaranteed maturity benefit,Bonus additions every year,Surrender before 3 years,Conservative investors
LIFE004,LIC Jeevan Umang,Life Insurance,Whole Life,LIC,90 days,55,200000,No Limit,55000,Whole Life,0,98.6%,8% annual survival benefit,Cover till 100 years,High premium,Wealth + legacy planning
LIFE005,HDFC Click2Wealth ULIP,Life Insurance,ULIP,HDFC Life,30,65,250000,No Limit,100000,10-40 years,0,99.4%,Market-linked returns,Free fund switches,5-year lock-in,Long-term investors 15+ yrs
LIFE006,LIC Childrens Money Back,Life Insurance,Child Plans,LIC,0,12,100000,No Limit,30000,Till age 25,0,98.6%,"Money back at 18,20,22,25",Premium waiver on parent death,No returns if surrendered early,Parents planning for child's future
LIFE007,LIC Jeevan Shanti Annuity,Life Insurance,Retirement Plans,LIC,30,85,150000,No Limit,Single Premium,Lifetime,0,98.6%,Guaranteed lifetime income,Joint life option for spouse,Irrevocable once purchased,Retirees with lump sum
GEN001,Star Health Family Optima,General Insurance,Health Insurance,Star Health,18,65,300000,2500000,18700,1 year renewable,30,99.1%,No TPA direct settlement,14000+ cashless hospitals,Cosmetic treatment excluded,Family of 2-4 members
GEN002,Niva Bupa ReAssure,General Insurance,Health Insurance,Niva Bupa,18,65,500000,30000000,22000,1 year renewable,30,91.4%,ReAssure benefit unlimited restore,Lock in age benefit,Infertility treatment excluded,Individuals wanting high cover
GEN003,HDFC ERGO Optima Restore,General Insurance,Health Insurance,HDFC ERGO,18,65,300000,5000000,16500,1 year renewable,30,89.2%,Automatic restoration of SI,Multiplier benefit 2x SI,Dental unless accident,Budget-conscious families
GEN004,HDFC ERGO My Home Insurance,General Insurance,Home Insurance,HDFC ERGO,18,70,500000,50000000,4500,1 year,0,89.2%,Covers structure and contents,Natural calamity protection,Gradual deterioration,Home owners
GEN005,Bajaj Allianz Home Safe,General Insurance,Home Insurance,Bajaj Allianz,18,70,500000,No Limit,3800,1 year,0,98.0%,Earthquake and flood cover,Burglary and theft cover,War and nuclear risks,Apartment and villa owners
GEN006,HDFC ERGO Private Car Comprehensive,General Insurance,Motor Insurance,HDFC ERGO,18,70,IDV Based,IDV Based,8500,1 year,0,89.2%,Zero dep add-on available,4000+ cashless garages,Drunk driving excluded,Private car owners
GEN007,Bajaj Allianz Motor Insurance,General Insurance,Motor Insurance,Bajaj Allianz,18,70,IDV Based,IDV Based,7800,1 year,0,98.0%,NCB protect add-on,24x7 roadside assist,Mechanical breakdown excluded,Two-wheeler and car owners
GEN008,Bajaj Allianz Travel Guard Gold,General Insurance,Travel Insurance,Bajaj Allianz,3,70,1000000,50000000,1800,Per trip,0,98.0%,$1L medical cover abroad,Trip cancellation Rs.1500,Pre-existing conditions,International travelers
GEN009,TATA AIG Travel Guard,General Insurance,Travel Insurance,TATA AIG,3,70,500000,No Limit,1500,Per trip,0,95.3%,Adventure sports cover optional,Passport loss cover,Travel to war zones,Adventure and student travelers
